month,avg_price,min_price,max_price,days_with_data
2024-04-01,168.58638208562678,164.00949096679688,175.49014282226562,22
2024-05-01,185.34172196821734,168.28366088867188,191.4546356201172,22
2024-06-01,205.3030194734272,192.22103881835938,215.6614227294922,19
2024-07-01,223.55314913662997,215.7410430908203,233.7269287109375,22
2024-08-01,220.78358112681997,206.26535034179688,228.98507690429688,22
2024-09-01,222.9742172241211,215.56228637695312,232.18385314941406,20
2024-10-01,229.25024347719938,220.91346740722656,235.6516571044922,23
2024-11-01,227.20095977783203,221.23233032226562,236.7588653564453,20
2024-12-01,248.72286987304688,239.013427734375,258.39666748046875,21
2025-01-01,234.02247467041016,222.10421752929688,244.41041564941406,20
2025-02-01,238.13469254343133,227.08221435546875,246.77639770507812,19
2025-03-01,222.43980331420897,209.4053955078125,238.7569122314453,20
